num_neur,freq,threshold,learning_rate,pre,post,diff
150,50,0.075,0.0005,0.502,0.7,0.198
150,50,0.25,1.00E-06,0.5,0.501,0.001
150,50,0.25,5.00E-06,0.5,1,0.5
150,50,0.25,1.00E-05,0.5,1,0.5
150,50,0.25,5.00E-05,0.5,1,0.5
150,50,0.25,0.0001,0.5,1,0.5
150,50,0.25,0.0005,0.5,1,0.5
150,50,0.25,0.001,0.5,1,0.5
150,50,0.25,0.005,0.5,0.976,0.476
150,50,0.5,5.00E-06,0.5,0.896,0.396
150,50,0.5,1.00E-05,0.5,1,0.5
150,50,0.5,5.00E-05,0.5,1,0.5
150,50,0.5,0.0001,0.5,1,0.5
150,50,0.5,0.0005,0.5,1,0.5
150,50,0.5,0.001,0.5,1,0.5
150,50,0.5,0.005,0.5,1,0.5
150,50,0.75,5.00E-06,0.5,0.602,0.102
150,50,0.75,1.00E-05,0.5,0.997,0.497
150,50,0.75,5.00E-05,0.5,1,0.5
150,50,0.75,0.0001,0.5,1,0.5
150,50,0.75,0.0005,0.5,1,0.5
150,50,0.75,0.001,0.5,1,0.5
150,50,0.75,0.005,0.5,1,0.5
150,100,0.00025,1.00E-06,0.5,0.53375,0.03375
150,100,0.00025,5.00E-06,0.5,0.649,0.149
150,100,0.00025,1.00E-05,0.5,0.788,0.288
150,100,0.00025,5.00E-05,0.5,0.776,0.276
150,100,0.00025,0.0001,0.5,0.686,0.186
150,100,0.0005,5.00E-06,0.5,0.807,0.307
150,100,0.0005,1.00E-05,0.5,0.726,0.226
150,100,0.0005,5.00E-05,0.5,0.738,0.238
150,100,0.0005,0.0001,0.5,0.715,0.215
150,100,0.0005,0.0005,0.5,0.6,0.1
150,100,0.00075,5.00E-06,0.5,0.776,0.276
150,100,0.00075,1.00E-05,0.5,0.849,0.349
150,100,0.00075,5.00E-05,0.5,0.802,0.302
150,100,0.00075,0.0001,0.5,0.761,0.261
150,100,0.00075,0.0005,0.5,0.6,0.1
150,100,0.0025,1.00E-06,0.5,0.56,0.06
150,100,0.0025,5.00E-06,0.5,0.81,0.31
150,100,0.0025,1.00E-05,0.5,0.931,0.431
150,100,0.0025,5.00E-05,0.5,0.794,0.294
150,100,0.0025,0.0001,0.5,0.8,0.3
150,100,0.005,5.00E-06,0.5,0.9,0.4
150,100,0.005,1.00E-05,0.5,0.971,0.471
150,100,0.005,5.00E-05,0.5,0.995,0.495
150,100,0.005,0.0001,0.5,0.796,0.296
150,100,0.0075,5.00E-06,0.5,0.9875,0.4875
150,100,0.0075,1.00E-05,0.5,0.913,0.413
150,100,0.0075,5.00E-05,0.5,0.824,0.324
150,100,0.0075,0.0001,0.5,0.8,0.3
150,100,0.025,5.00E-06,0.5,1,0.5
150,100,0.025,1.00E-05,0.5,1,0.5
150,100,0.025,5.00E-05,0.5,0.9,0.4
150,100,0.025,0.0001,0.5,0.8,0.3
150,100,0.05,1.00E-06,0.5,0.706,0.206
150,100,0.05,1.00E-05,0.5,1,0.5
150,100,0.05,5.00E-05,0.5,1,0.5
150,100,0.05,0.0001,0.5,0.8,0.3
150,100,0.075,1.00E-06,0.5,0.87,0.37
150,100,0.075,5.00E-06,0.5,1,0.5
150,100,0.075,0.0001,0.5,0.6,0.1
150,100,0.25,1.00E-06,0.5,0.896,0.396
150,100,0.25,0.0005,0.5,1,0.5
150,100,0.25,0.005,0.501,0.798,0.297
150,100,0.5,5.00E-06,0.5,0.9,0.4
150,100,0.5,1.00E-05,0.5,1,0.5
150,100,0.5,5.00E-05,0.5,1,0.5
150,100,0.5,0.0001,0.5,1,0.5
150,100,0.5,0.0005,0.5,1,0.5
150,100,0.5,0.001,0.5,0.9,0.4
150,100,0.5,0.005,0.5,0.7,0.2
150,100,0.75,5.00E-06,0.5,1,0.5
150,100,0.75,1.00E-05,0.5,1,0.5
150,100,0.75,5.00E-05,0.5,1,0.5
150,100,0.75,0.0001,0.5,1,0.5
150,100,0.75,0.0005,0.5,1,0.5
150,100,0.75,0.001,0.5,0.8,0.3
150,100,0.75,0.005,0.5,0.9,0.4
500,15,0.00025,1.00E-05,0.5,0.955,0.455
500,15,0.00025,5.00E-05,0.5,0.925,0.425
500,15,0.00025,0.0001,0.5,0.888,0.388
500,15,0.00025,0.0005,0.5,0.772,0.272
500,15,0.00025,0.001,0.5,0.751666667,0.251666667
500,15,0.0005,5.00E-05,0.5,0.87,0.37
500,15,0.0005,0.0001,0.5,0.899,0.399
500,15,0.0005,0.0005,0.5,0.73875,0.23875
500,15,0.0005,0.001,0.5,0.74875,0.24875
500,15,0.0005,0.005,0.5,0.657,0.157
500,15,0.00075,1.00E-05,0.5,0.653333333,0.153333333
500,15,0.00075,5.00E-05,0.5,0.913333333,0.413333333
500,15,0.00075,0.0001,0.5,0.865,0.365
500,15,0.00075,0.0005,0.5,0.983,0.483
500,15,0.00075,0.001,0.5,0.699,0.199
500,15,0.00075,0.005,0.5,0.599,0.099
500,15,0.0025,5.00E-05,0.5,0.996666667,0.496666667
500,15,0.0025,0.0001,0.5,0.99875,0.49875
500,15,0.0025,0.0005,0.5,0.796,0.296
500,15,0.0025,0.001,0.5,0.7,0.2
500,15,0.0025,0.005,0.5,0.7,0.2
500,15,0.005,5.00E-05,0.5,0.995,0.495
500,15,0.005,0.0001,0.5,0.991666667,0.491666667
500,15,0.005,0.0005,0.5,1,0.5
500,15,0.005,0.001,0.5,0.75,0.25
500,15,0.005,0.005,0.5,0.75,0.25
500,15,0.0075,5.00E-05,0.5,1,0.5
500,15,0.0075,0.0001,0.5,0.99875,0.49875
500,15,0.0075,0.0005,0.5,1,0.5
500,15,0.0075,0.001,0.5,0.625,0.125
500,15,0.0075,0.005,0.5,0.625,0.125
500,15,0.025,5.00E-05,0.5,0.9975,0.4975
500,15,0.025,0.0001,0.5,1,0.5
500,15,0.025,0.0005,0.5,0.918,0.418
500,15,0.025,0.001,0.5,0.875,0.375
500,15,0.025,0.005,0.5,0.6,0.1
500,15,0.05,1.00E-05,0.5,1,0.5
500,15,0.05,5.00E-05,0.5,1,0.5
500,15,0.05,0.0001,0.5,0.9925,0.4925
500,15,0.05,0.0005,0.5,0.75,0.25
500,15,0.05,0.001,0.5,0.833333333,0.333333333
500,15,0.05,0.005,0.5,0.9,0.4
500,15,0.075,5.00E-06,0.5,0.995,0.495
500,15,0.075,1.00E-05,0.5,1,0.5
500,15,0.075,5.00E-05,0.5,1,0.5
500,15,0.075,0.0001,0.5,1,0.5
500,15,0.075,0.0005,0.5,1,0.5
500,15,0.075,0.001,0.499,0.7,0.201
500,15,0.075,0.005,0.5,0.6,0.1
500,15,0.25,1.00E-06,0.5,0.51,0.01
500,15,0.25,5.00E-06,0.5,1,0.5
500,15,0.25,1.00E-05,0.5,1,0.5
500,15,0.25,5.00E-05,0.5,1,0.5
500,15,0.25,0.0001,0.5,1,0.5
500,15,0.25,0.0005,0.5,1,0.5
500,15,0.25,0.001,0.5,1,0.5
500,15,0.25,0.005,0.5,1,0.5
500,15,0.5,5.00E-06,0.5,0.92125,0.42125
500,15,0.5,1.00E-05,0.5,0.9,0.4
500,15,0.5,5.00E-05,0.5,1,0.5
500,15,0.5,0.0001,0.5,1,0.5
500,15,0.5,0.0005,0.5,1,0.5
500,15,0.5,0.001,0.5,1,0.5
500,15,0.5,0.005,0.5,1,0.5
500,15,0.75,1.00E-05,0.5,0.9,0.4
500,15,0.75,5.00E-05,0.5,1,0.5
500,15,0.75,0.0001,0.5,1,0.5
500,15,0.75,0.0005,0.5,1,0.5
500,15,0.75,0.001,0.5,1,0.5
500,15,0.75,0.005,0.5,1,0.5
500,50,0.00025,5.00E-05,0.5,0.756,0.256
500,50,0.00025,0.0001,0.5,0.718,0.218
500,50,0.00025,0.0005,0.5,0.658333333,0.158333333
500,50,0.00025,0.001,0.5,0.5225,0.0225
500,50,0.0005,1.00E-05,0.5,0.7475,0.2475
500,50,0.0005,5.00E-05,0.5,0.912,0.412
500,50,0.0005,0.0001,0.5,0.868,0.368
500,50,0.0005,0.0005,0.5,0.66,0.16
500,50,0.0005,0.001,0.5,0.5325,0.0325
500,50,0.00075,1.00E-05,0.5,0.91,0.41
500,50,0.00075,5.00E-05,0.5,0.94,0.44
500,50,0.00075,0.0001,0.5,0.945,0.445
500,50,0.00075,0.0005,0.5,0.645,0.145
500,50,0.00075,0.001,0.5,0.54,0.04
500,50,0.0025,5.00E-06,0.5,0.845,0.345
500,50,0.0025,5.00E-05,0.5,0.965,0.465
500,50,0.0025,0.0001,0.5,0.9975,0.4975
500,50,0.0025,0.0005,0.5,0.702,0.202
500,50,0.0025,0.001,0.5,0.6,0.1
500,50,0.0025,0.005,0.5,0.504,0.004
500,50,0.005,5.00E-06,0.5,0.9775,0.4775
500,50,0.005,5.00E-05,0.5,0.961666667,0.461666667
500,50,0.005,0.0001,0.5,0.831666667,0.331666667
500,50,0.0075,1.00E-05,0.5,1,0.5
500,50,0.0075,5.00E-05,0.5,1,0.5
500,50,0.0075,0.0001,0.5,0.99,0.49
500,50,0.0075,0.0005,0.5,0.8,0.3
500,50,0.025,1.00E-05,0.5,1,0.5
500,50,0.025,5.00E-05,0.5,1,0.5
500,50,0.025,0.0001,0.5,1,0.5
500,50,0.025,0.0005,0.5,0.75,0.25
500,50,0.025,0.001,0.5,0.75,0.25
500,50,0.05,5.00E-06,0.5,1,0.5
500,50,0.05,1.00E-05,0.5,1,0.5
500,50,0.05,5.00E-05,0.5,1,0.5
500,50,0.05,0.0001,0.5,1,0.5
500,50,0.075,5.00E-06,0.5,1,0.5
500,50,0.075,1.00E-05,0.5,1,0.5
