num_neur,freq,samp_num,distance,span,threshold,learning_rate,pre,post,diff
3.0e+01,1.0e+02,2.0e+00,3.0e-01,6.0e+00,2.5e-03,1.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,4.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,0.0e+00,3.0e-01,6.0e+00,2.5e-01,1.0e-03,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-03,1.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,2.0e+00,3.0e-01,6.0e+00,2.5e-03,1.0e-03,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,0.0e+00,3.0e-01,6.0e+00,2.5e-01,1.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,3.0e+00,3.0e-01,6.0e+00,7.5e-03,1.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-04,5.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-04,1.0e-05,5.0e-01,5.0e-01,0.0e+00
3.0e+01,5.0e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-01,1.0e-05,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-03,5.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-04,5.0e-05,5.0e-01,8.4e-01,3.4e-01
3.0e+01,1.5e+01,3.0e+00,3.0e-01,6.0e+00,2.5e-04,5.0e-03,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,4.0e+00,3.0e-01,6.0e+00,7.5e-04,5.0e-05,5.0e-01,9.3e-01,4.3e-01
3.0e+01,1.0e+02,4.0e+00,3.0e-01,6.0e+00,7.5e-01,1.0e-05,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,4.0e+00,3.0e-01,6.0e+00,7.5e-04,1.0e-05,5.0e-01,5.0e-01,0.0e+00
1.50e+02,5.00e+01,4.00e+00,3.00e-01,6.00e+00,7.50e-04,1.00e-05,5.00e-01,9.45e-01,4.45e-01
