num_neur,freq,distance,span,threshold,learning_rate,pre,post,diff
30.0,100.0,0.05,3.0,0.25,0.0005,0.5,0.52625,0.02625
30.0,100.0,0.05,3.0,0.5,1e-05,0.5,0.664,0.16399999999999998
30.0,100.0,0.05,3.0,0.5,5e-05,0.5,0.9066666666666666,0.4066666666666667
30.0,100.0,0.05,3.0,0.5,0.0001,0.5,0.9949999999999999,0.495
30.0,100.0,0.05,3.0,0.5,0.0005,0.5,0.9890000000000001,0.48900000000000005
30.0,100.0,0.05,3.0,0.75,1e-05,0.5,0.503,0.003
30.0,100.0,0.05,3.0,0.75,5e-05,0.5,0.9550000000000001,0.45499999999999996
30.0,100.0,0.05,3.0,0.75,0.0001,0.5,0.882,0.382
30.0,100.0,0.05,3.0,0.75,0.0005,0.5,0.8109999999999999,0.31100000000000005
30.0,100.0,0.05,3.0,0.75,0.001,0.5,0.6,0.1
150.0,15.0,0.05,3.0,0.00025,5e-05,0.5,0.999,0.499
150.0,15.0,0.05,3.0,0.00025,0.0001,0.5,0.994,0.49399999999999994
150.0,15.0,0.05,3.0,0.00025,0.0005,0.5,0.841,0.341
150.0,15.0,0.05,3.0,0.00025,0.001,0.5,0.8,0.3
150.0,15.0,0.05,3.0,0.00025,0.005,0.5,0.56,0.06
150.0,15.0,0.05,3.0,0.0005,5e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.0005,0.0001,0.5,0.9975,0.4975
150.0,15.0,0.05,3.0,0.0005,0.0005,0.5,0.75,0.25
150.0,15.0,0.05,3.0,0.0005,0.001,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.0005,0.005,0.5,0.643,0.143
150.0,15.0,0.05,3.0,0.00075,5e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.00075,0.0001,0.5,0.969,0.469
150.0,15.0,0.05,3.0,0.00075,0.0005,0.5,0.8800000000000001,0.38
150.0,15.0,0.05,3.0,0.00075,0.005,0.5,0.6666666666666666,0.16666666666666666
150.0,15.0,0.05,3.0,0.0025,5e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.0025,0.0001,0.5,0.9960000000000001,0.496
150.0,15.0,0.05,3.0,0.0025,0.0005,0.5,0.75,0.25
150.0,15.0,0.05,3.0,0.0025,0.001,0.5,0.75,0.25
150.0,15.0,0.05,3.0,0.005,5e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.005,0.0001,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.005,0.0005,0.5,0.898,0.398
150.0,15.0,0.05,3.0,0.005,0.001,0.5,0.7,0.2
150.0,15.0,0.05,3.0,0.005,0.005,0.5,0.6,0.1
150.0,15.0,0.05,3.0,0.0075,5e-05,0.5,0.991,0.491
150.0,15.0,0.05,3.0,0.0075,0.0001,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.0075,0.0005,0.5,0.8,0.3
150.0,15.0,0.05,3.0,0.0075,0.001,0.5,0.6,0.1
150.0,15.0,0.05,3.0,0.025,1e-05,0.5,0.875,0.375
150.0,15.0,0.05,3.0,0.025,5e-05,0.5,0.998,0.49800000000000005
150.0,15.0,0.05,3.0,0.025,0.0001,0.5,0.99875,0.49875
150.0,15.0,0.05,3.0,0.025,0.0005,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.025,0.001,0.5,0.8,0.3
150.0,15.0,0.05,3.0,0.05,1e-06,0.5025,0.725,0.22249999999999998
150.0,15.0,0.05,3.0,0.05,1e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.05,5e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.05,0.0005,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.05,0.001,0.5,0.9,0.4
150.0,15.0,0.05,3.0,0.25,5e-06,0.5,0.6970000000000001,0.197
150.0,15.0,0.05,3.0,0.25,1e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.25,5e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.25,0.0001,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.25,0.0005,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.25,0.001,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.25,0.005,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.5,1e-05,0.5,0.558,0.057999999999999996
150.0,15.0,0.05,3.0,0.5,5e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.5,0.0001,0.5,0.9,0.4
150.0,15.0,0.05,3.0,0.5,0.0005,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.5,0.001,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.5,0.005,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.75,5e-05,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.75,0.0005,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.75,0.001,0.5,1.0,0.5
150.0,15.0,0.05,3.0,0.75,0.005,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.00025,5e-06,0.5,0.712,0.21200000000000002
150.0,50.0,0.05,3.0,0.00025,1e-05,0.5,0.805,0.305
150.0,50.0,0.05,3.0,0.00025,5e-05,0.5,0.7675,0.26749999999999996
150.0,50.0,0.05,3.0,0.00025,0.0001,0.5,0.598,0.098
150.0,50.0,0.05,3.0,0.00025,0.0005,0.5,0.55625,0.05625
